epoch,train_loss,macro_f1,f1_Fluid,f1_Geographicatrophy,f1_PRlayerdisruption,f1_SoftdrusenPED,f1_Reticulardrusen,f1_Hyperfluorescentspots,f1_Softdrusen,f1_Harddrusen,f1_Choroidalfolds
1,1.0490674924850465,0.3609,0.0,0.0,0.6301,0.3704,0.2718,0.0,0.8421,0.7724,0.0
2,1.0370248866081238,0.2683,0.0,0.0,0.3429,0.2424,0.0,0.0652,0.8293,0.0,0.6667
3,1.0214235591888428,0.4312,0.0,0.0,0.6494,0.3614,0.1935,0.087,0.8613,0.7639,0.5333
4,1.0027821922302247,0.4627,0.0,0.5,0.5455,0.4058,0.2727,0.0682,0.8293,0.7724,0.3077
5,0.9876839876174927,0.3246,0.0,0.0,0.5614,0.4082,0.1481,0.1111,0.7759,0.3421,0.25
6,0.9709551119804383,0.4639,0.0,0.5294,0.5106,0.3797,0.2532,0.0659,0.8281,0.7442,0.4
7,0.9592781162261963,0.4207,0.0,0.2667,0.5862,0.4262,0.1,0.0,0.7931,0.7724,0.4211
8,0.9518460774421692,0.4901,0.0,0.5333,0.5098,0.4211,0.3214,0.1176,0.8333,0.6842,0.5
9,0.9395225620269776,0.4727,0.0,0.4828,0.6071,0.3673,0.2769,0.1212,0.7455,0.736,0.4444
10,0.9218447947502136,0.4722,0.0,0.48,0.5938,0.4528,0.3404,0.0976,0.832,0.6,0.381
11,0.9107726335525512,0.5029,0.0,0.5806,0.5818,0.4211,0.3396,0.0889,0.8235,0.7167,0.4706
12,0.9035096335411071,0.4596,0.0,0.5217,0.5965,0.381,0.2439,0.1379,0.8346,0.6415,0.32
13,0.8913713312149047,0.481,0.0,0.5385,0.625,0.3896,0.3333,0.069,0.832,0.7407,0.32
14,0.8933209371566773,0.4589,0.0,0.5,0.5306,0.4444,0.2,0.0784,0.855,0.6415,0.4211
15,0.8704683446884155,0.4758,0.0,0.5882,0.5769,0.4231,0.3333,0.0909,0.8,0.708,0.2857
16,0.8722277569770813,0.5117,0.0,0.5263,0.6471,0.4528,0.2769,0.0851,0.8594,0.713,0.5333
17,0.8595958423614501,0.4838,0.0,0.5,0.6061,0.3636,0.2909,0.0952,0.832,0.7119,0.4706
18,0.8548279190063477,0.4852,0.0,0.4444,0.56,0.4348,0.3,0.129,0.8527,0.6275,0.5333
19,0.8426884531974792,0.4796,0.0,0.4151,0.6098,0.4727,0.2632,0.093,0.8226,0.6275,0.5333
20,0.8364839339256287,0.472,0.0,0.5714,0.5938,0.4444,0.2727,0.0727,0.832,0.713,0.2759
21,0.828249237537384,0.4449,0.0,0.5294,0.5714,0.449,0.2778,0.129,0.8504,0.4186,0.3333
22,0.8288683342933655,0.4551,0.0,0.4762,0.6364,0.4211,0.087,0.1026,0.8099,0.708,0.4
23,0.8250590515136719,0.4941,0.0,0.449,0.5424,0.4444,0.2545,0.0909,0.8504,0.75,0.5714
24,0.8117800712585449,0.4402,0.0,0.4444,0.5667,0.4,0.2593,0.1081,0.7826,0.6275,0.3333
25,0.8090826392173767,0.43,0.0,0.5,0.5714,0.4,0.2162,0.0889,0.8527,0.4773,0.3333
26,0.8136165308952331,0.4904,0.0,0.5161,0.6377,0.4,0.2326,0.1026,0.8594,0.7304,0.4444
27,0.8038031339645386,0.4847,0.0,0.4348,0.6486,0.459,0.2381,0.0909,0.8594,0.7027,0.4444
28,0.7821954870223999,0.4822,0.0,0.4615,0.5417,0.4308,0.2712,0.0889,0.8594,0.7333,0.4706
29,0.7763625144958496,0.4632,0.0,0.5161,0.5357,0.411,0.2609,0.1176,0.8571,0.5859,0.4211
30,0.7705084705352783,0.4649,0.0,0.5161,0.5484,0.3721,0.2326,0.125,0.8413,0.7027,0.381
31,0.7806365752220153,0.4686,0.0,0.4583,0.6364,0.4,0.2353,0.0889,0.832,0.6538,0.4444
32,0.7827375364303589,0.4728,0.0,0.5161,0.5333,0.4444,0.2264,0.0889,0.8594,0.6139,0.5
33,0.7708539056777954,0.4817,0.0,0.5161,0.5424,0.4681,0.2449,0.069,0.8594,0.7091,0.4444
34,0.7666176629066467,0.46,0.0,0.44,0.6471,0.4898,0.2,0.08,0.8594,0.6,0.3636
