epoch,train_loss,macro_f1,f1_Fluid,f1_Geographicatrophy,f1_PRlayerdisruption,f1_SoftdrusenPED,f1_Reticulardrusen,f1_Hyperfluorescentspots,f1_Softdrusen,f1_Harddrusen,f1_Choroidalfolds
1,1.004763046503067,0.4099,0.0,0.2745,0.6349,0.4091,0.2812,0.05,0.7857,0.6154,0.2286
2,0.8929418790340423,0.4641,0.0,0.2927,0.6552,0.386,0.2333,0.0667,0.8346,0.4444,0.8
3,0.827303690314293,0.51,0.0,0.4615,0.7037,0.3836,0.2456,0.0714,0.8806,0.8333,0.5
4,0.756232635974884,0.4362,0.0,0.3529,0.6809,0.4194,0.2712,0.0,0.8387,0.6596,0.2667
5,0.7595632088184356,0.4941,0.0,0.2857,0.7692,0.4407,0.338,0.1,0.855,0.72,0.4444
6,0.7482154023647308,0.4873,0.0,0.5556,0.68,0.4167,0.2807,0.1026,0.8769,0.7573,0.2286
7,0.702235934138298,0.4983,0.0,0.3636,0.6818,0.4,0.2759,0.129,0.9065,0.785,0.4444
8,0.6960800236463547,0.4993,0.0,0.5294,0.7273,0.3279,0.2857,0.1081,0.8682,0.7477,0.4
9,0.65802754342556,0.561,0.0,0.6,0.7451,0.381,0.3014,0.0833,0.8806,0.7692,0.7273
10,0.681632495522499,0.5128,0.0,0.5581,0.7018,0.3947,0.3103,0.0909,0.8722,0.8264,0.3478
11,0.6342738962173462,0.5051,0.0,0.6154,0.7111,0.3824,0.24,0.1081,0.8939,0.8142,0.2759
12,0.5978843712806702,0.539,0.0,0.5333,0.6667,0.3944,0.2812,0.1143,0.8921,0.7636,0.6667
13,0.5879383808374405,0.5304,0.0,0.6897,0.6545,0.3704,0.2857,0.1111,0.8769,0.8547,0.4
14,0.57592748939991,0.4948,0.0,0.5882,0.6557,0.3896,0.25,0.1212,0.8923,0.8257,0.2353
15,0.6049392354488373,0.4897,0.0,0.619,0.6,0.3662,0.2,0.087,0.9023,0.8468,0.2963
16,0.5690565985441208,0.5116,0.0,0.5161,0.64,0.4062,0.2941,0.1,0.9118,0.78,0.4444
17,0.5400254082679748,0.5452,0.0,0.6471,0.6275,0.3667,0.303,0.1111,0.9185,0.7723,0.6154
18,0.5309219831228256,0.5577,0.0,0.7586,0.5862,0.3333,0.3478,0.1667,0.9008,0.7525,0.6154
19,0.544180397093296,0.549,0.0,0.6486,0.5965,0.4412,0.28,0.1143,0.913,0.8649,0.5333
20,0.5425554567575455,0.5507,0.0,0.5714,0.6462,0.3729,0.2817,0.0909,0.9051,0.8103,0.7273
21,0.5275288462638855,0.5123,0.0,0.5714,0.6182,0.3667,0.2745,0.1379,0.9333,0.8155,0.381
22,0.5152291142940522,0.5331,0.0,0.6286,0.6333,0.4167,0.2857,0.1143,0.9197,0.8224,0.4444
23,0.4967155563831329,0.495,0.0,0.55,0.6452,0.3944,0.2778,0.0976,0.9091,0.819,0.2667
24,0.5392909327149391,0.5201,0.0,0.6286,0.623,0.4,0.3137,0.1026,0.9185,0.8411,0.3333
25,0.4893848139047623,0.5424,0.0,0.7097,0.6286,0.4,0.2712,0.1053,0.9173,0.8364,0.4706
26,0.488572963476181,0.5728,0.0,0.6,0.6333,0.4167,0.2963,0.1053,0.9265,0.8772,0.7273
27,0.48080951809883116,0.5405,0.0,0.7586,0.6557,0.4348,0.2222,0.125,0.9023,0.8772,0.3478
28,0.483082395195961,0.5269,0.0,0.6897,0.6102,0.4444,0.2857,0.1481,0.9091,0.78,0.3478
29,0.4869526618719101,0.551,0.0,0.6923,0.6296,0.4211,0.3103,0.125,0.9333,0.7963,0.5
30,0.4515923535823822,0.5235,0.0,0.5333,0.6316,0.3934,0.3077,0.1333,0.9254,0.819,0.4444
31,0.45817016929388044,0.5491,0.0,0.6957,0.6071,0.4074,0.254,0.1905,0.9143,0.8235,0.5
32,0.46235460966825487,0.5528,0.0,0.6154,0.6207,0.3768,0.2745,0.1379,0.9118,0.8696,0.6154
33,0.4845595720410347,0.5527,0.0,0.6429,0.6441,0.3944,0.3077,0.1111,0.8906,0.8596,0.5714
34,0.47591577261686324,0.5334,0.0,0.6154,0.566,0.4615,0.2857,0.1538,0.9118,0.8727,0.4
35,0.4205204740166664,0.5766,0.0,0.6667,0.6316,0.4706,0.3103,0.1379,0.8906,0.8381,0.6667
36,0.41308373302221296,0.5403,0.0,0.7097,0.6071,0.4211,0.3478,0.1379,0.88,0.8381,0.381
